Number,Steps,Path
46,16,"[46, 70, 35, 106, 53, 160, 80, 40, 16, 8, 1, 1, 1, 1, 1, 1, 1]"
47,104,"[47, 142, 71, 214, 107, 322, 161, 484, 242, 121, 364, 182, 91, 274, 137, 412, 206, 103, 310, 155, 466, 233, 700, 350, 175, 526, 263, 790, 395, 1186, 593, 1780, 890, 445, 1336, 668, 334, 167, 502, 251, 754, 377, 1132, 566, 283, 850, 425, 1276, 638, 319, 958, 479, 1438, 719, 2158, 1079, 3238, 1619, 4858, 2429, 7288, 3644, 1822, 911, 2734, 1367, 4102, 2051, 6154, 3077, 9232, 4616, 2308, 1154, 577, 1732, 866, 433, 1300, 650, 325, 976, 488, 244, 122, 61, 184, 92, 70, 35, 106, 53, 160, 80, 40, 16, 8, 1, 1, 1, 1, 1, 1, 1, 1]"
48,11,"[48, 10, 5, 16, 8, 4, 1, 1, 1, 1, 1, 1]"
49,24,"[49, 148, 74, 112, 56, 22, 11, 34, 17, 52, 26, 13, 40, 20, 10, 16, 8, 1, 1, 1, 1, 1, 1, 1, 1]"
50,24,"[50, 76, 38, 58, 29, 88, 44, 22, 34, 17, 52, 26, 13, 40, 20, 16, 8, 1, 1, 1, 1, 1, 1, 1, 1]"
51,24,"[51, 154, 77, 232, 116, 58, 88, 44, 34, 17, 52, 26, 13, 40, 20, 16, 8, 1, 1, 1, 1, 1, 1, 1, 1]"
52,11,"[52, 40, 20, 16, 8, 1, 1, 1, 1, 1, 1, 1]"
53,11,"[53, 160, 80, 16, 8, 1, 1, 1, 1, 1, 1, 1]"
54,112,"[54, 82, 41, 124, 62, 31, 94, 47, 142, 71, 214, 107, 322, 161, 484, 242, 121, 364, 182, 91, 274, 137, 412, 206, 103, 310, 155, 466, 233, 700, 350, 175, 526, 263, 790, 395, 1186, 593, 1780, 890, 445, 1336, 668, 334, 167, 502, 251, 754, 377, 1132, 566, 283, 850, 425, 1276, 638, 319, 958, 479, 1438, 719, 2158, 1079, 3238, 1619, 4858, 2429, 7288, 3644, 1822, 911, 2734, 1367, 4102, 2051, 6154, 3077, 9232, 4616, 2308, 1154, 577, 1732, 866, 433, 1300, 650, 325, 976, 488, 244, 122, 61, 184, 92, 46, 70, 35, 106, 53, 160, 80, 40, 16, 8, 1, 1, 1, 1, 1, 1, 1, 1]"
55,112,"[55, 166, 83, 250, 125, 376, 188, 94, 142, 71, 214, 107, 322, 161, 484, 242, 121, 364, 182, 91, 274, 137, 412, 206, 103, 310, 155, 466, 233, 700, 350, 175, 526, 263, 790, 395, 1186, 593, 1780, 890, 445, 1336, 668, 334, 167, 502, 251, 754, 377, 1132, 566, 283, 850, 425, 1276, 638, 319, 958, 479, 1438, 719, 2158, 1079, 3238, 1619, 4858, 2429, 7288, 3644, 1822, 911, 2734, 1367, 4102, 2051, 6154, 3077, 9232, 4616, 2308, 1154, 577, 1732, 866, 433, 1300, 650, 325, 976, 488, 244, 122, 61, 184, 92, 70, 35, 106, 53, 160, 80, 40, 16, 8, 1, 1, 1, 1, 1, 1, 1, 1, 1]"
56,19,"[56, 22, 11, 34, 17, 52, 26, 13, 40, 20, 10, 16, 8, 1, 1, 1, 1, 1, 1, 1]"
57,32,"[57, 172, 86, 130, 65, 196, 98, 49, 148, 74, 112, 56, 22, 11, 34, 17, 52, 26, 13, 40, 20, 10, 16, 8, 1, 1, 1, 1, 1, 1, 1, 1, 1]"
58,19,"[58, 88, 44, 34, 17, 52, 26, 13, 40, 20, 16, 8, 1, 1, 1, 1, 1, 1, 1, 1]"
59,32,"[59, 178, 89, 268, 134, 67, 202, 101, 304, 152, 76, 58, 29, 88, 44, 22, 34, 17, 52, 26, 13, 40, 20, 16, 8, 1, 1, 1, 1, 1, 1, 1, 1]"
60,19,"[60, 46, 23, 70, 35, 106, 53, 160, 80, 40, 20, 16, 8, 1, 1, 1, 1, 1, 1, 1]"
61,19,"[61, 184, 92, 70, 35, 106, 53, 160, 80, 40, 16, 8, 1, 1, 1, 1, 1, 1, 1, 1]"
62,107,"[62, 94, 47, 142, 71, 214, 107, 322, 161, 484, 242, 121, 364, 182, 91, 274, 137, 412, 206, 103, 310, 155, 466, 233, 700, 350, 175, 526, 263, 790, 395, 1186, 593, 1780, 890, 445, 1336, 668, 334, 167, 502, 251, 754, 377, 1132, 566, 283, 850, 425, 1276, 638, 319, 958, 479, 1438, 719, 2158, 1079, 3238, 1619, 4858, 2429, 7288, 3644, 1822, 911, 2734, 1367, 4102, 2051, 6154, 3077, 9232, 4616, 2308, 1154, 577, 1732, 866, 433, 1300, 650, 325, 976, 488, 244, 122, 61, 184, 92, 46, 70, 35, 106, 53, 160, 80, 40, 16, 8, 1, 1, 1, 1, 1, 1, 1, 1]"
63,107,"[63, 190, 95, 286, 143, 430, 215, 646, 323, 970, 485, 1456, 728, 364, 182, 91, 274, 137, 412, 206, 103, 310, 155, 466, 233, 700, 350, 175, 526, 263, 790, 395, 1186, 593, 1780, 890, 445, 1336, 668, 334, 167, 502, 251, 754, 377, 1132, 566, 283, 850, 425, 1276, 638, 319, 958, 479, 1438, 719, 2158, 1079, 3238, 1619, 4858, 2429, 7288, 3644, 1822, 911, 2734, 1367, 4102, 2051, 6154, 3077, 9232, 4616, 2308, 1154, 577, 1732, 866, 433, 1300, 650, 325, 976, 488, 244, 122, 184, 92, 70, 35, 106, 53, 160, 80, 40, 16, 8, 1, 1, 1, 1, 1, 1, 1, 1, 1]"
64,6,"[64, 1, 1, 1, 1, 1, 1]"
